target_episode,target_dataset_index,target_frame_index,target_time_s,target_tactile_score,target_gripper,replacement_episode,replacement_dataset_index,replacement_frame_index,replacement_time_s,replacement_tactile_score,replacement_gripper,abs_gripper_diff,other5_normalized_distance,shoulder_pan_diff,shoulder_lift_diff,elbow_flex_diff,wrist_flex_diff,wrist_roll_diff
0,653,653,21.766666412353516,13239.001953125,13.561553955078125,0,657,657,21.899999618530273,11156.041015625,13.561553955078125,0.0,0.13042312860488892,-1.0297904014587402,-3.122364044189453,3.211418390274048,-0.16542434692382812,0.0
1,1444,570,19.0,25704.96875,11.520737648010254,8,6467,423,14.100000381469727,11797.2080078125,13.429887771606445,1.9091501235961914,3.37453031539917,-8.826774597167969,-39.40928268432617,70.9188232421875,-54.425140380859375,-3.177910804748535
2,2280,535,17.83333396911621,17696.373046875,16.392362594604492,2,2291,546,18.200000762939453,11964.0546875,16.392362594604492,0.0,0.5451995730400085,-4.33983039855957,-16.87763786315918,10.347904205322266,1.48883056640625,0.2604846954345703
3,2844,327,10.899999618530273,27397.484375,10.204081535339355,5,3874,72,2.4000000953674316,11729.0400390625,8.68992805480957,1.5141534805297852,4.24622917175293,-12.210371017456055,-136.37130737304688,121.4986572265625,-7.361457824707031,3.9072673320770264
4,3576,441,14.699999809265137,18879.359375,11.84990119934082,5,4283,481,16.03333282470703,9475.0791015625,13.298222541809082,1.4483213424682617,0.34677597880363464,2.1331372261047363,3.7974700927734375,-0.4460296630859375,6.120761871337891,0.15629053115844727
5,4231,429,14.300000190734863,14403.9853515625,13.298222541809082,34,24541,381,12.699999809265137,11926.005859375,15.20737361907959,1.9091510772705078,0.7856834530830383,-2.6480331420898438,8.438817977905273,-15.700268745422363,12.737800598144531,1.1461315155029297
6,5040,550,18.33333396911621,22440.45703125,10.138248443603516,27,19105,48,1.600000023841858,10782.0439453125,11.91573429107666,1.7774858474731445,1.117582082748413,-1.2504597902297974,-0.6751022338867188,0.4460296630859375,22.99420928955078,-1.2503256797790527
7,5814,608,20.266666412353516,45752.05859375,7.24160623550415,14,10198,0,0.0,10168.4150390625,8.887426376342773,1.645820140838623,0.9182969331741333,-0.7355644702911377,-0.67510986328125,-1.0704727172851562,18.858558654785156,1.7712947130203247
8,6477,433,14.433333396911621,17601.693359375,11.520737648010254,8,6467,423,14.100000381469727,11797.2080078125,13.429887771606445,1.9091501235961914,0.009957501664757729,-0.07355642318725586,0.08438818156719208,0.2676200866699219,0.08271408081054688,0.0
9,7172,430,14.333333015441895,48596.1328125,7.373271942138672,36,25574,74,2.4666666984558105,11999.0380859375,7.30743932723999,0.06583261489868164,3.3364171981811523,-2.5744760036468506,-106.16033935546875,64.76361083984375,37.799835205078125,15.993748664855957
10,7893,453,15.100000381469727,40327.81640625,9.677419662475586,37,26270,73,2.433333396911621,8458.451171875,11.059907913208008,1.3824882507324219,2.7222330570220947,-0.588451623916626,-22.86920166015625,0.089202880859375,55.417701721191406,-3.6988797187805176
11,8592,484,16.133333206176758,38509.3125,13.693219184875488,5,4251,449,14.966666221618652,10607.609375,13.298222541809082,0.39499664306640625,1.5326135158538818,13.093049049377441,-23.37552833557129,29.17038345336914,-9.511993408203125,-11.357124328613281
12,9205,355,11.833333015441895,61203.80859375,7.768268585205078,44,31539,609,20.299999237060547,10274.224609375,8.755760192871094,0.9874916076660156,3.852936029434204,-1.176903247833252,-130.46414184570312,100.7136459350586,25.310176849365234,5.261786937713623
13,10005,480,16.0,40389.046875,6.122448921203613,35,25457,630,21.0,12101.359375,8.031599998474121,1.9091510772705078,3.4149725437164307,2.5009193420410156,-96.11814880371094,52.36396026611328,32.25806427001953,38.395416259765625
14,10481,283,9.433333396911621,57429.5859375,8.229098320007324,36,25574,74,2.4666666984558105,11999.0380859375,7.30743932723999,0.921658992767334,3.7489635944366455,-6.03162956237793,-125.90717315673828,93.3095474243164,25.31017303466797,13.597290992736816
15,10814,84,2.799999952316284,32414.81640625,13.693219184875488,4,3744,609,20.299999237060547,11741.453125,15.20737361907959,1.5141544342041016,0.012957478873431683,-0.07355642318725586,0.337554931640625,0.26761627197265625,-0.08271026611328125,-0.10419368743896484
16,11751,379,12.633333206176758,24751.72265625,11.257406234741211,33,23923,354,11.800000190734863,11133.9248046875,12.837392807006836,1.579986572265625,1.9025280475616455,8.753218650817871,-23.71308135986328,21.67707061767578,17.038875579833984,-27.350872039794922
17,12472,442,14.733333587646484,46322.1875,11.389071464538574,5,4249,447,14.899999618530273,11316.7880859375,13.298222541809082,1.9091510772705078,2.2019238471984863,-7.355646133422852,-49.78902816772461,59.857269287109375,-15.38461685180664,-15.42068099975586
18,13207,429,14.300000190734863,39577.5078125,13.364055633544922,36,25900,400,13.333333015441895,11840.1318359375,14.61487865447998,1.2508230209350586,0.7557300925254822,-2.4273643493652344,9.113924026489258,-17.127565383911133,11.083541870117188,2.7611351013183594
19,13848,397,13.233333587646484,32681.53125,12.047399520874023,0,629,629,20.96666717529297,11995.3076171875,13.890717506408691,1.843317985534668,1.679145336151123,-11.254137992858887,-14.683542251586914,20.6958065032959,14.1439208984375,21.67230987548828
20,14475,346,11.533333778381348,59718.2734375,7.83410120010376,47,33097,61,2.0333333015441895,12066.72265625,5.990783214569092,1.843317985534668,3.2892026901245117,-12.798822402954102,-88.01687622070312,57.18108367919922,44.416873931884766,-6.303725242614746
21,15162,403,13.433333396911621,39197.80859375,13.034891128540039,0,629,629,20.96666717529297,11995.3076171875,13.890717506408691,0.8558263778686523,1.9249261617660522,-21.772708892822266,9.029537200927734,-16.681533813476562,12.076095581054688,11.148736953735352
22,15870,403,13.433333396911621,61767.2578125,7.175773620605469,4,3787,652,21.733333587646484,11748.119140625,8.031599998474121,0.8558263778686523,4.753338813781738,-11.107025146484375,-53.755271911621094,1.6057052612304688,92.30769348144531,-18.12972068786621
23,16661,505,16.83333396911621,44633.0,11.389071464538574,5,4249,447,14.899999618530273,11316.7880859375,13.298222541809082,1.9091510772705078,1.55338454246521,9.930121421813965,-42.278480529785156,40.41034698486328,-0.08271217346191406,-4.376138687133789
